lng	lat	fecha	evento	domicilio
-62.27739	-38.69007	2016/01/01 00:03:57	3	DR NARCISO MALLEA 600
-62.28106	-38.6974	2016/01/01 00:12:43	3	MANUEL ALBERTI 300
-62.24213	-38.74216	2016/01/01 00:16:15	3	MAESTRO PICCIOLI 
-62.27126	-38.77542	2016/01/01 00:48:10	19	JAMES HARRIS esq. LAUTARO
-62.25912	-38.7742	2016/01/01 00:46:42	3	GUAYAQUIL 330
-62.26151	-38.70279	2016/01/01 01:21:36	3	TREBOLARES 
-62.31137	-38.71965	2016/01/01 02:18:55	3	17 DE MAYO 180
-62.22922	-38.73568	2016/01/01 02:28:51	3	RANQUELES 600
-62.21966	-38.70521	2016/01/01 02:57:44	0	14 DE JULIO 330
-62.26727	-38.7348	2016/01/01 03:19:17	3	CHILE 900
-62.29441	-38.73018	2016/01/01 03:33:22	3	PATRICIOS 180
-62.2399	-38.73449	2016/01/01 05:20:59	6	RIVADAVIA 210
-62.23038	-38.72265	2016/01/01 06:38:04	6	HAITI esq. MATHEU
-62.30729	-38.70356	2016/01/01 07:14:53	1	SGTO FABIAN GONZALEZ 600
-62.23207	-38.74413	2016/01/01 07:19:59	0	INDIADA esq. MAIPU
-62.24953	-38.73469	2016/01/01 07:36:14	3	ESTADOS UNIDOS 
-62.28494	-38.72779	2016/01/01 07:55:58	6	BOLIVIA esq. GORRITI
-62.26737	-38.749	2016/01/01 08:08:24	3	ESTADOS UNIDOS 180
-62.27822	-38.73629	2016/01/01 08:56:14	3	CNEL NICOLAS GRANADA 300
-62.25337	-38.72298	2016/01/01 10:09:23	3	AVDA PARCHAPE 900
-62.2513	-38.75407	2016/01/01 11:37:41	3	JUNCAL 120
-62.2819	-38.74863	2016/01/01 12:06:23	3	PEDRO PICO 240
-62.16233	-38.74556	2016/01/01 13:10:13	3	CAP DE NAVIO EDUARDO A ESTIVARIZ 630
-62.27784	-38.71167	2016/01/01 15:24:37	15	BRAVARD 
-62.26699	-38.71698	2016/01/01 16:32:36	6	SARMIENTO 
-62.39248	-38.71889	2016/01/01 17:23:47	15	CHICLANA 
-62.27076	-38.74749	2016/01/01 17:48:04	3	FANGIO 120
-62.18119	-38.75016	2016/01/01 18:08:32	3	LOLA MORA 150
-62.26661	-38.73355	2016/01/01 18:59:03	6	ANGEL BRUNEL 600
-62.39207	-38.72318	2016/01/01 19:18:40	1	RODRIGUEZ PEÑA 300
-62.26326	-38.72068	2016/01/01 20:00:19	6	LAS HERAS esq. CHICLANA
-62.32294	-38.71223	2016/01/01 20:07:46	3	RIO ATUEL 300
-62.28053	-38.71167	2016/01/01 20:57:59	3	CNEL CHARLONE 
-62.26439	-38.72288	2016/01/01 22:04:49	3	BROWN 300
-62.2738	-38.74714	2016/01/01 22:06:21	0	NEUQUEN esq. GRAL ARIAS
-62.24288	-38.73985	2016/01/02 00:01:25	3	BROWN 210
-62.26619	-38.72858	2016/01/02 04:32:10	3	THOMPSON 600
-62.24397	-38.74368	2016/01/02 05:39:34	3	DARREGUEIRA 240
-62.30584	-38.70321	2016/01/02 06:23:48	3	ALMAFUERTE 270
-62.27711	-38.70548	2016/01/02 06:30:57	0	MITRE 120
-62.29488	-38.72318	2016/01/02 06:59:43	0	CNEL CHARLONE esq. LIBANO
-62.31173	-38.7214	2016/01/02 07:03:49	3	FRANCIA 210
-62.27201	-38.74567	2016/01/02 09:42:54	3	NEUQUEN 150
-62.21275	-38.69947	2016/01/02 10:08:02	0	14 DE JULIO esq. JOSE LUIS RAMIREZ URTASUN
-62.23923	-38.72885	2016/01/02 10:23:48	3	SOCRATES 180
-62.28053	-38.71167	2016/01/02 10:27:21	3	CNEL CHARLONE 
-62.2148	-38.73935	2016/01/02 10:39:08	3	SEN MANUEL LAINEZ 330
-62.27747	-38.71138	2016/01/02 10:58:32	15	BRAVARD 
-62.22653	-38.73463	2016/01/02 10:59:22	3	HUAURA 900
-62.27132	-38.77906	2016/01/02 11:38:24	12	AVDA GRAL SAN MARTIN 300
-62.24594	-38.72132	2016/01/02 12:05:19	3	LINIERS 600
-62.2898	-38.723	2016/01/02 12:24:25	3	JUAN MOLINA 120
-62.26254	-38.71869	2016/01/02 13:12:36	3	SAN MARTIN 
-62.27497	-38.71336	2016/01/02 13:16:09	7	VICENTE LOPEZ 600
-62.24267	-38.73732	2016/01/02 14:34:17	3	TARAPACA 
-62.22209	-38.71707	2016/01/02 15:42:16	3	FRAGATA SARMIENTO 180
-62.27879	-38.73918	2016/01/02 15:42:48	3	AVDA JORGE MOORE 600
-62.24957	-38.72079	2016/01/02 16:18:34	3	ING PELLEGRINI 600
-62.27352	-38.70821	2016/01/02 17:03:14	0	SANTIAGO DEL ESTERO esq. MITRE
-62.27297	-38.74312	2016/01/02 17:46:02	3	MISIONES 150
-62.27784	-38.71167	2016/01/02 17:50:12	15	BRAVARD 
-62.31032	-38.72163	2016/01/02 18:09:24	3	INGLATERRA 210
-62.25711	-38.72293	2016/01/02 18:18:00	0	SAN MARTIN esq. ISRAEL
-62.28344	-38.71962	2016/01/02 18:21:07	3	CNEL THOMAS HOLDICH 600
-62.27703	-38.74467	2016/01/02 19:01:26	6	GRAL ARIAS esq. PEDRO PICO
-62.2829	-38.73831	2016/01/02 20:26:48	3	ESPAÑA 180
-62.33942	-38.69645	2016/01/02 20:55:20	3	CHACO 480
-62.26632	-38.74284	2016/01/02 21:24:02	3	RIO NEGRO 120
-62.26411	-38.77917	2016/01/02 22:56:01	12	JUAN BAUTISTA CABRAL 330
-62.26553	-38.78163	2016/01/02 22:57:24	12	LORENZO MASCARELLO 360
-62.27476	-38.74897	2016/01/02 22:58:54	3	AVDA JORGE MOORE 120
-62.30529	-38.69902	2016/01/03 02:24:32	6	TERRADA 300
-62.29944	-38.71156	2016/01/03 02:27:22	3	BELGICA 180
-62.26653	-38.74731	2016/01/03 04:29:34	3	TIERRA DEL FUEGO 150
-62.2466	-38.71592	2016/01/03 06:06:38	3	RINCON 600
-62.26854	-38.71978	2016/01/03 07:14:40	0	AVDA COLON esq. BROWN
-62.322959	-38.712234	2016/01/03 08:24:29	3	PBRO JUAN BAUTISTA BIGIO 
-62.30508	-38.72744	2016/01/03 09:51:38	3	ENTRE RIOS 210
-62.24261	-38.74254	2016/01/03 09:53:44	3	MAESTRO PICCIOLI 
-62.238	-38.74548	2016/01/03 10:23:38	3	LA PINTA 
-62.27126	-38.77542	2016/01/03 10:51:34	15	LAUTARO esq. JAMES HARRIS
-62.39077	-38.72372	2016/01/03 12:07:12	3	ALVAREZ JONTE 300
-62.27682	-38.68591	2016/01/03 13:18:22	3	AGRON DE ANGELIS 900
-62.28714	-38.71424	2016/01/03 13:23:11	3	TUCUMAN 900
-62.2925	-38.68265	2016/01/03 14:08:15	3	AVDA ALEM 330
-62.25337	-38.72298	2016/01/03 14:22:12	3	AVDA PARCHAPE 900
-62.26593	-38.70504	2016/01/03 15:09:58	3	SALTA 300
-62.30585	-38.70319	2016/01/03 15:33:21	3	ALMAFUERTE 270
-62.29005	-38.72319	2016/01/03 17:34:47	3	JUAN MOLINA 120
